Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,fortinet.com,paloaltonetworks.com,checkpoint.com,cisco.com,crowdstrike.com
browser agent security risk,Informational,14800,16,0,0,0,33,46,38,43
red teaming,Informational,6600,50,13.03,0.28,0,16,43,52,12
cloud network security,Informational,2900,32,22.96,0.21,0,3,7,32,13
cyber security threats,Informational,2400,69,6.28,0.18,0,66,20,17,7
cloud security solution,Informational,1300,64,29.68,0.05,0,16,10,9,18
cybersecurity assessment,Informational,1300,32,23.96,0.13,0,33,29,17,7
generative ai security,Informational,720,27,8.88,0.64,0,1,12,50,90
how can generative ai be used in cybersecurity,Informational,720,28,3.98,0.37,0,2,24,51,75
prompt injection attack,Informational,720,67,3.55,0.16,0,5,43,57,12
compromise assessment,Informational,590,24,9.16,0.06,0,2,44,53,1
container security scanning,Informational,390,18,16.48,0.11,0,23,70,66,51
kubernetes security posture management,Informational,320,25,14.24,0.2,0,1,28,58,2
